,Patient,Template,Plate,Well,Value,NonRandomWell,Fluid,Concentration,Unit,Dispensedvolume,Content,Top,Steepness,IC50,Bottom,R2
0,LN229-72,HDACi-Kinetics,2,A01,,,,,,,,,,,,
1,LN229-72,HDACi-Kinetics,2,A02,,,,,,,,,,,,
2,LN229-72,HDACi-Kinetics,2,A03,,,,,,,,,,,,
3,LN229-72,HDACi-Kinetics,2,A04,,,,,,,,,,,,
4,LN229-72,HDACi-Kinetics,2,A05,,,,,,,,,,,,
5,LN229-72,HDACi-Kinetics,2,A06,,,,,,,,,,,,
6,LN229-72,HDACi-Kinetics,2,A07,,,,,,,,,,,,
7,LN229-72,HDACi-Kinetics,2,A08,,,,,,,,,,,,
8,LN229-72,HDACi-Kinetics,2,A09,,,,,,,,,,,,
9,LN229-72,HDACi-Kinetics,2,A10,,,,,,,,,,,,
10,LN229-72,HDACi-Kinetics,2,A11,,,,,,,,,,,,
11,LN229-72,HDACi-Kinetics,2,A12,,,,,,,,,,,,
12,LN229-72,HDACi-Kinetics,2,A13,,,,,,,,,,,,
13,LN229-72,HDACi-Kinetics,2,A14,,,,,,,,,,,,
14,LN229-72,HDACi-Kinetics,2,A15,,,,,,,,,,,,
15,LN229-72,HDACi-Kinetics,2,A16,,,,,,,,,,,,
16,LN229-72,HDACi-Kinetics,2,A17,,,,,,,,,,,,
17,LN229-72,HDACi-Kinetics,2,A18,,,,,,,,,,,,
18,LN229-72,HDACi-Kinetics,2,A19,,,,,,,,,,,,
19,LN229-72,HDACi-Kinetics,2,A20,,,,,,,,,,,,
20,LN229-72,HDACi-Kinetics,2,A21,,,,,,,,,,,,
21,LN229-72,HDACi-Kinetics,2,A22,,,,,,,,,,,,
22,LN229-72,HDACi-Kinetics,2,A23,,,,,,,,,,,,
23,LN229-72,HDACi-Kinetics,2,A24,,,,,,,,,,,,
24,LN229-72,HDACi-Kinetics,2,B01,,,,,,,,,,,,
25,LN229-72,HDACi-Kinetics,2,B02,,,,,,,,,,,,
26,LN229-72,HDACi-Kinetics,2,B03,,,,,,,,,,,,
27,LN229-72,HDACi-Kinetics,2,B04,,,,,,,,,,,,
28,LN229-72,HDACi-Kinetics,2,B05,,,,,,,,,,,,
29,LN229-72,HDACi-Kinetics,2,B06,,,,,,,,,,,,
30,LN229-72,HDACi-Kinetics,2,B07,,,,,,,,,,,,
31,LN229-72,HDACi-Kinetics,2,B08,,,,,,,,,,,,
32,LN229-72,HDACi-Kinetics,2,B09,,,,,,,,,,,,
33,LN229-72,HDACi-Kinetics,2,B10,,,,,,,,,,,,
34,LN229-72,HDACi-Kinetics,2,B11,,,,,,,,,,,,
35,LN229-72,HDACi-Kinetics,2,B12,,,,,,,,,,,,
36,LN229-72,HDACi-Kinetics,2,B13,,,,,,,,,,,,
37,LN229-72,HDACi-Kinetics,2,B14,,,,,,,,,,,,
38,LN229-72,HDACi-Kinetics,2,B15,,,,,,,,,,,,
39,LN229-72,HDACi-Kinetics,2,B16,,,,,,,,,,,,
40,LN229-72,HDACi-Kinetics,2,B17,,,,,,,,,,,,
41,LN229-72,HDACi-Kinetics,2,B18,,,,,,,,,,,,
42,LN229-72,HDACi-Kinetics,2,B19,,,,,,,,,,,,
43,LN229-72,HDACi-Kinetics,2,B20,,,,,,,,,,,,
44,LN229-72,HDACi-Kinetics,2,B21,,,,,,,,,,,,
45,LN229-72,HDACi-Kinetics,2,B22,,,,,,,,,,,,
46,LN229-72,HDACi-Kinetics,2,B23,,,,,,,,,,,,
47,LN229-72,HDACi-Kinetics,2,B24,,,,,,,,,,,,
48,LN229-72,HDACi-Kinetics,2,C01,,,,,,,,,,,,
49,LN229-72,HDACi-Kinetics,2,C02,,,,,,,,,,,,
50,LN229-72,HDACi-Kinetics,2,C03,572389.0,,,,,,,,,,,
51,LN229-72,HDACi-Kinetics,2,C04,384407.0,,,,,,,,,,,
52,LN229-72,HDACi-Kinetics,2,C05,549789.0,,,,,,,,,,,
53,LN229-72,HDACi-Kinetics,2,C06,461915.0,,,,,,,,,,,
54,LN229-72,HDACi-Kinetics,2,C07,433651.0,,,,,,,,,,,
