,Patient,Template,Plate,Well,Value,NonRandomWell,Fluid,Concentration,Unit,Dispensedvolume,Content,Top,Steepness,IC50,Bottom,R2
0,UW228-3-72,HDACi-Kinetics,2,A01,,,,,,,,,,,,
1,UW228-3-72,HDACi-Kinetics,2,A02,,,,,,,,,,,,
2,UW228-3-72,HDACi-Kinetics,2,A03,,,,,,,,,,,,
3,UW228-3-72,HDACi-Kinetics,2,A04,,,,,,,,,,,,
4,UW228-3-72,HDACi-Kinetics,2,A05,,,,,,,,,,,,
5,UW228-3-72,HDACi-Kinetics,2,A06,,,,,,,,,,,,
6,UW228-3-72,HDACi-Kinetics,2,A07,,,,,,,,,,,,
7,UW228-3-72,HDACi-Kinetics,2,A08,,,,,,,,,,,,
8,UW228-3-72,HDACi-Kinetics,2,A09,,,,,,,,,,,,
9,UW228-3-72,HDACi-Kinetics,2,A10,,,,,,,,,,,,
10,UW228-3-72,HDACi-Kinetics,2,A11,,,,,,,,,,,,
11,UW228-3-72,HDACi-Kinetics,2,A12,,,,,,,,,,,,
12,UW228-3-72,HDACi-Kinetics,2,A13,,,,,,,,,,,,
13,UW228-3-72,HDACi-Kinetics,2,A14,,,,,,,,,,,,
14,UW228-3-72,HDACi-Kinetics,2,A15,,,,,,,,,,,,
15,UW228-3-72,HDACi-Kinetics,2,A16,,,,,,,,,,,,
16,UW228-3-72,HDACi-Kinetics,2,A17,,,,,,,,,,,,
17,UW228-3-72,HDACi-Kinetics,2,A18,,,,,,,,,,,,
18,UW228-3-72,HDACi-Kinetics,2,A19,,,,,,,,,,,,
19,UW228-3-72,HDACi-Kinetics,2,A20,,,,,,,,,,,,
20,UW228-3-72,HDACi-Kinetics,2,A21,,,,,,,,,,,,
21,UW228-3-72,HDACi-Kinetics,2,A22,,,,,,,,,,,,
22,UW228-3-72,HDACi-Kinetics,2,A23,,,,,,,,,,,,
23,UW228-3-72,HDACi-Kinetics,2,A24,,,,,,,,,,,,
24,UW228-3-72,HDACi-Kinetics,2,B01,,,,,,,,,,,,
25,UW228-3-72,HDACi-Kinetics,2,B02,,,,,,,,,,,,
26,UW228-3-72,HDACi-Kinetics,2,B03,,,,,,,,,,,,
27,UW228-3-72,HDACi-Kinetics,2,B04,,,,,,,,,,,,
28,UW228-3-72,HDACi-Kinetics,2,B05,,,,,,,,,,,,
29,UW228-3-72,HDACi-Kinetics,2,B06,,,,,,,,,,,,
30,UW228-3-72,HDACi-Kinetics,2,B07,,,,,,,,,,,,
31,UW228-3-72,HDACi-Kinetics,2,B08,,,,,,,,,,,,
32,UW228-3-72,HDACi-Kinetics,2,B09,,,,,,,,,,,,
33,UW228-3-72,HDACi-Kinetics,2,B10,,,,,,,,,,,,
34,UW228-3-72,HDACi-Kinetics,2,B11,,,,,,,,,,,,
35,UW228-3-72,HDACi-Kinetics,2,B12,,,,,,,,,,,,
36,UW228-3-72,HDACi-Kinetics,2,B13,,,,,,,,,,,,
37,UW228-3-72,HDACi-Kinetics,2,B14,,,,,,,,,,,,
38,UW228-3-72,HDACi-Kinetics,2,B15,,,,,,,,,,,,
39,UW228-3-72,HDACi-Kinetics,2,B16,,,,,,,,,,,,
40,UW228-3-72,HDACi-Kinetics,2,B17,,,,,,,,,,,,
41,UW228-3-72,HDACi-Kinetics,2,B18,,,,,,,,,,,,
42,UW228-3-72,HDACi-Kinetics,2,B19,,,,,,,,,,,,
43,UW228-3-72,HDACi-Kinetics,2,B20,,,,,,,,,,,,
44,UW228-3-72,HDACi-Kinetics,2,B21,,,,,,,,,,,,
45,UW228-3-72,HDACi-Kinetics,2,B22,,,,,,,,,,,,
46,UW228-3-72,HDACi-Kinetics,2,B23,,,,,,,,,,,,
47,UW228-3-72,HDACi-Kinetics,2,B24,,,,,,,,,,,,
48,UW228-3-72,HDACi-Kinetics,2,C01,,,,,,,,,,,,
49,UW228-3-72,HDACi-Kinetics,2,C02,,,,,,,,,,,,
50,UW228-3-72,HDACi-Kinetics,2,C03,576633.0,,,,,,,,,,,
