,cell_line,drug,auc_norm,auc_norm_extrapolated,relative_auc_decrease
0,LN308,Drug13,1.8450123272993808,0.9826109067469448,0.46742312113153617
1,LN308,Drug14,1.690106965002696,0.975079605822497,0.4230663348452969
2,LN229,Drug16,0.6820707767478893,0.4104390257699151,0.3982456956638918
3,LN229,Drug07,1.4792388173912412,0.9718814344918786,0.34298544422605737
4,LN308,Drug15,1.5167502866417213,1.0735580182713105,0.29219857235148117
5,UW228-3,Drug15,1.0268199460667264,0.817387463920076,0.20396222623926394
6,LN229,Drug11,0.9794387035560068,0.8077627619219647,0.1752799241144397
7,T98G,Drug03,1.1816178960557753,0.9826789900530036,0.16836145311172676
8,LN229,Drug06,0.994253460825136,0.8440702930399557,0.15105118936226028
9,LN229,Drug09,1.2819894191646353,1.0993146798136162,0.1424931724241943
10,UW228-3,Drug18,1.227930403869644,1.0640227723214322,0.1334828350464169
11,LN308,Drug02,1.0324690763743565,0.896529622263626,0.13166443162452748
12,UW228-3,Drug05,0.9874092137801316,0.869111807152399,0.11980585655551125
13,UW228-3,Drug10,0.9117556626185768,0.8072291834927573,0.11464308192571875
14,LN229,Drug18,1.1248207241752313,1.0130646693989944,0.09935454812870857
15,T98G,Drug05,1.0580108887903037,0.9596542334849564,0.09296374578696938
16,LN229,Drug01,1.058370065846656,0.9606603839653228,0.0923209046007637
17,LN229,Drug15,1.0815150166605354,1.0017331774548763,0.07376859126007021
18,UW228-3,Drug17,0.9040182703731724,0.8378718294344145,0.07316936295043361
19,UW228-3,Drug11,0.7863691847509632,0.7298811450596236,0.07183399449868937
20,LN229,Drug13,0.993334117610468,0.9249649406902166,0.06882797611413771
21,LN308,Drug04,1.0954766263069806,1.024594091684479,0.06470474396286992
22,LN229,Drug14,1.0610067563951566,1.011382181637846,0.04677121465834339
23,LN229,Drug12,0.7849492598903176,0.7493236423838437,0.04538588584878963
24,UW228-3,Drug16,0.7421322203027282,0.7105615041995146,0.04254055441810002
25,UW228-3,Drug02,0.9421266242505132,0.9050013293622858,0.03940584411120057
26,T98G,Drug17,0.9964554383264216,0.9573285092838744,0.039266110191803594
27,LN229,Drug00,1.1669182763578023,1.1223872880389738,0.03816118850912088
28,UW228-3,Drug14,1.0015698550451957,0.9636446981219196,0.03786571324230278
29,LN229,Drug03,1.028427023347406,0.9896201650157074,0.03773418769703947
30,T98G,Drug01,0.9670349122729364,0.933431783196314,0.034748620396383545
31,UW228-3,Drug12,0.9567135273849792,0.9281647959520136,0.029840417863640813
32,LN229,Drug04,1.0242022110084883,0.9970686121408888,0.026492423640525217
33,UW228-3,Drug04,1.0219075163640057,0.9952180520199954,0.026117299184737056
34,UW228-3,Drug07,0.9924772518705626,0.983887914479788,0.008654442582523613
35,T98G,Drug10,1.064838032004385,1.0565991975649385,0.007737171468169997
36,LN229,Drug05,1.0056740752478148,0.9983246670195596,0.0073079424130966415
37,T98G,Drug07,0.9648902077669562,0.963205674656716,0.0017458287965619488
38,LN308,Drug11,0.7703851336914286,0.7821350859857902,-0.015252049631409354
39,T98G,Drug02,0.9149859144363264,0.9305050104147384,-0.01696102173110778
40,T98G,Drug04,1.0581942831657123,1.0798763434391854,-0.020489678141719547
41,UW228-3,Drug08,0.9493741354224704,0.9728547031892312,-0.02473268113240935
42,T98G,Drug08,0.9336273888238872,0.9722989933865486,-0.041420812012999034
43,UW228-3,Drug09,0.9196707143268548,0.9592162072734632,-0.04299962185438672
44,UW228-3,Drug03,0.9265872106970434,0.9694107676279952,-0.04621643428332761
45,T98G,Drug14,0.8422020633178713,0.8822432860108395,-0.04754348681505837
46,T98G,Drug18,1.0153625358685632,1.0702236830125358,-0.05403109254670618
47,LN308,Drug07,0.9393856189148674,0.9925516641695584,-0.05659661398277086
48,T98G,Drug11,0.8441649588370007,0.9054421461115196,-0.07258911499825817
49,LN229,Drug08,0.9314207923014964,1.0004623183767392,-0.07412495688940376
50,UW228-3,Drug00,0.9699654669386186,1.0443089519824418,-0.07664549674996601
51,LN308,Drug06,0.9999999979688496,1.0770548395506352,-0.07705484173829552
52,T98G,Drug06,0.9983240516877608,1.0789267779417733,-0.08073803903426541
53,LN308,Drug12,0.99128849442711,1.0830750947903125,-0.09259322677425834
54,T98G,Drug13,0.9652531563455504,1.0554762460749143,-0.0934709087830892
55,UW228-3,Drug01,0.9065621820570195,0.996274372164884,-0.09895867253617897
56,LN308,Drug00,0.9984928680928744,1.1019007328393475,-0.10356394927885923
57,LN308,Drug16,0.525144576005338,0.5799427153075143,-0.10434867235802743
58,T98G,Drug12,0.9086990784091,1.0087630249663828,-0.11011780350043845
59,LN308,Drug03,0.8562246313962832,0.9558680075451012,-0.11637527407536158
60,LN308,Drug08,0.823295763799411,0.9354425070009876,-0.13621683498531906
61,LN308,Drug05,0.8749953428502569,1.001547368465526,-0.14463165621319965
62,UW228-3,Drug13,0.8435616226839918,0.9656300593641154,-0.14470601008582376
63,LN308,Drug18,0.9418434283656631,1.0795705091938237,-0.1462313975765079
64,T98G,Drug15,0.997505717920992,1.1699372544731426,-0.1728627048991093
65,T98G,Drug09,0.9967084890998,1.1692720565484127,-0.1731334380471339
66,T98G,Drug00,0.948072781589248,1.1256431287316329,-0.18729611332657908
67,T98G,Drug16,0.6454276356652294,0.7977311514284101,-0.23597303144016213
68,LN229,Drug02,0.7502868533359439,0.9407847463919304,-0.2539000812942278
69,LN229,Drug10,0.7894915761486296,0.9956008524237864,-0.261065833381805
70,LN229,Drug17,0.846172787990792,1.0699036258170298,-0.26440325309618967
71,LN308,Drug01,0.7476574695473364,0.9597554091000176,-0.2836833017679798
72,LN308,Drug10,0.8356925816601181,1.0817582406258284,-0.2944451875795003
73,UW228-3,Drug06,0.7510551973911853,0.9930166815790428,-0.32216205284021543
74,LN308,Drug17,0.6719086576674413,1.040247569384583,-0.5481978949279287
75,LN308,Drug09,0.9830892121483532,1.7285714093374422,-0.7583057447655035
