,cell_line,drug,min_dose,max_dose,time,alpha,beta,gamma,delta,mape,auc,auc_norm
0,LN229,Drug00,-1.6994045165612854,0.9995654886602768,72,1.0834549812226244,12.881737976308974,0.9800517700596304,0.3266769643697815,0.0761317261127948,2.898089923090331,0.9910668006274412
1,LN229,Drug00,-1.6994045165612854,0.9995654886602768,120,1.05044679045374e-05,9.323766585587045,-1.8005558433401927,1.0140374422285157,0.0380007269468673,2.731757718141459,1.111918992790046
2,LN229,Drug01,-1.6994045165612854,0.9995654886602768,72,1.3036476906231642,13.178620221038184,-0.3724126268125417,1.5523138564076366,0.0978850819954627,3.859670551883111,1.096962897355196
3,LN229,Drug01,-1.6994045165612854,0.9995654886602768,120,2.4883645493676645,9.333411794619463,-1.8775691461456792,0.8442757844544059,0.0056114395675979,2.2803198000299982,0.9609196405357154
4,LN229,Drug02,-1.6994045165612854,0.9995654886602768,72,0.9996316816747152,12.561367954061478,-1.0530534944926235,0.7369093231356285,0.1204817643048929,2.158707024742268,0.8001209384283293
5,LN229,Drug02,-1.6994045165612854,0.9995654886602768,120,1.107377979080009,1.1100276650736078,0.8712981781421497,0.0864337943919648,0.0261001493319541,2.641648321165614,0.8849966063764583
6,LN229,Drug03,-1.6994045165612854,0.9995654886602768,72,1.1346507566455477,13.382261527713624,0.317505111396922,1.8761015295267545,0.0248683595767355,3.5681025524797856,1.165137185319183
7,LN229,Drug03,-1.6994045165612854,0.9995654886602768,120,0.9628929122023876,15.837501928800052,0.012459596140267,0.4868550212104824,0.0199645947116763,2.128919281013776,0.8191871802923892
8,LN229,Drug04,-1.6994045165612854,0.9995654886602768,72,1.194555606675234,5.897552665882798,-0.0399249944100998,1.3399766126166135,0.0858066315661484,3.375233511628838,1.0468860078113733
9,LN229,Drug04,-1.6994045165612854,0.9995654886602768,120,1.023394385597805,10.864174288602175,0.3590420825326361,0.6249159955061554,0.0319862471571141,2.506876012799265,0.9075943144498732
10,LN229,Drug05,-1.6994045165612854,0.9995654886602768,72,1.2428441703722792,11.111161946719635,0.4023953746070213,1.980963462636877,0.0214576661596449,3.795181925627679,1.1314043948338033
11,LN229,Drug05,-1.6994045165612854,0.9995654886602768,120,1.0510392066920622,0.8024890943123424,-1.5074067906065467,0.994851983284316,0.0219635435231553,2.711727976132772,0.977477441662625
12,LN229,Drug06,-1.6994045165612854,0.9995654886602768,72,0.8928026012389894,13.87013009220885,0.9276407477137592,1.2240439289010534,0.1095688351738689,2.434465624455268,1.0102995080117496
